Address,lat,lng
4035 ROMBOUTS AVENUE                     ,40.89159799999999,-73.830378
4026 ROMBOUTS AVENUE                     ,40.8915719,-73.829794
4026 ROMBOUTS AVE                        ,40.8915719,-73.829794
4022 ELY AVENUE                          ,40.8902519,-73.845219
4034 ELY AVENUE                          ,40.890534,-73.845327
4046 ELY AVENUE                          ,40.8908773,-73.8455073
4041 EDSON AVENUE                        ,40.890795,-73.844101
4053 BAYCHESTER AVENUE                   ,40.891651,-73.843474
4060 DE REIMER AVENUE                    ,40.892117,-73.842134
4019 WILDER AVENUE                       ,40.891025,-73.84133899999999
4033 HILL AVE                            ,40.891852,-73.839727
2338 PALMER AVENUE                       ,40.86198900000001,-73.826238
2198 PALMER AVENUE                       ,40.8602073,-73.8252778
2324 BOLLER AVE                          ,40.862023,-73.82526659999999
2032 TILLOTSON AVE                       ,40.8793294,-73.8361735
3353 PALMER AVENUE                       ,40.8791269,-73.835735
3 REEDS MILL LANE                        ,40.884031,-73.830472
2578 FLINT AVENUE                        ,40.889001,-73.81760799999999
2581 HOLLERS AVENUE                      ,40.88879499999999,-73.817256
3432 MCOWEN AVENUE                       ,40.8871665,-73.8177947
3503 ROPES AVENUE                        ,40.8882162,-73.8182202
1124 EAST 214TH STREET                   ,40.8763929,-73.8534129
3587 FISH AVENUE                         ,40.878198,-73.85147490000001
1135 EAST 219 STREET                     ,40.87991299999999,-73.851339
3766 LACONIA AVENUE                      ,40.879621,-73.85197400000001
1126A EAST 222 STREET                    ,40.8815527,-73.84963619999999
1128 EAST 222ND STREET                   ,40.881485,-73.849604
1458 OAKLEY STREET                       ,40.8798812,-73.85017359999999
1463 NEEDHAM AVENUE                      ,40.8796899,-73.84944
3606 EASTCHESTER ROAD                    ,40.880718,-73.848029
1401 NEEDHAM AVENUE                      ,40.8786833,-73.85138409999999
3457 MICKLE AVENUE                       ,40.878172,-73.846216
3458 EASTCHESTER ROAD                    ,40.878273,-73.8466569
3521 TIEMANN AVENUE                      ,40.8788788,-73.8446586
3478 KINGSLAND AVENUE                    ,40.8790495,-73.8452124
3419 TIEMANN AVENUE                      ,40.877697,-73.844008
1657 TILLOTSON AVENUE                    ,40.877226,-73.844042
3429 WICKHAM AVENUE                      ,40.878436,-73.842448
3438 GUNTHER AVENUE                      ,40.87853399999999,-73.842884
3310 PEARSALL AVENUE                     ,40.873252,-73.851198
3237 WILSON AVENUE                       ,40.872833,-73.849563
3325 FISH AVENUE                         ,40.874406,-73.84939
3317 FENTON AVENUE                       ,40.874572,-73.847448
3332 SEYMOUR AVENUE                      ,40.875106,-73.848137
3333 CORSA AVENUE                        ,40.8752799,-73.84680999999999
1469 GIVAN AVENUE                        ,40.874605,-73.84629300000002
3356 FENTON AVENUE                       ,40.875742,-73.84746299999999
3227 SEYMOUR AVENUE                      ,40.873024,-73.847621
3202 FISH AVENUE                         ,40.8721755,-73.84765709999999
3220 FISH AVENUE                         ,40.8727242,-73.84788929999999
3222 FISH AVENUE                         ,40.872787,-73.847892
3240 SEYMOUR AVENUE                      ,40.873645,-73.847349
3345 MICKLE AVENUE                       ,40.8761719,-73.845148
3343 MICKLE AVENUE                       ,40.876129,-73.845124
3332 EASTCHESTER ROAD                    ,40.87562399999999,-73.84525599999999
3334 EASTCHESTER ROAD                    ,40.875689,-73.845292
3241 EASTCHESTER ROAD                    ,40.874089,-73.845135
3231 EASTCHESTER ROAD                    ,40.873785,-73.844971
3306 KINGSLAND AVENUE                    ,40.8755359,-73.84326
3334 KINGSLAND AVENUE                    ,40.8762207,-73.84365
3209 WICKHAM AVENUE                      ,40.874682,-73.84043799999999
3216 GUNTHER AVENUE                      ,40.8747266,-73.8408879
1752 GIVAN AVENUE                        ,40.875625,-73.841554
3225 BRUNER                              ,40.875402,-73.83985899999999
3172 FENTON AVENUE                       ,40.872139,-73.845516
3066 FENTON AVENUE                       ,40.8703642,-73.8448635
3121 MICKLE AVENUE                       ,40.87215399999999,-73.84302
1523 HAMMERSLEY                          ,40.87173900000001,-73.842923
1520 HAMMERSLEY AVENUE                   ,40.87130500000001,-73.84244199999999
1662 HAMMERSLEY AVE                      ,40.871804,-73.84092500000001
1662 HAMMERSLEY AVENUE                   ,40.871804,-73.84092500000001
1809 ADEE AVENUE                         ,40.87119,-73.837861
3107 EDSON AVENUE                        ,40.8740303,-73.8361721
3152 GRACE AVENUE                        ,40.8749854,-73.8371131
3123 NEW ENGLAND THRUWAY                 ,40.8745048,-73.835286
2975 TIEMANN AVENUE                      ,40.869769,-73.8399034
2927 TIEMANN AVENUE                      ,40.869088,-73.839587
2906 TIEMANN AVENUE                      ,40.868927,-73.838928
2945 WICKHAM AVENUE                      ,40.870283,-73.838252
2947 BRUNER AVENUE                       ,40.8704645,-73.83711140000001
2938 WICKHAM AVENUE                      ,40.8703689,-73.837727
2803 GUNTHER AVENUE                      ,40.8670509,-73.83766899999999
2840 BRUNER AVENUE                       ,40.8688999,-73.8360749
2921 GRACE AVENUE                        ,40.8706805,-73.8355315
2855 GRACE AVENUE                        ,40.86910719999999,-73.83477859999999
1904 ARNOW AVENUE                        ,40.8694599,-73.835318
3400 BRUNER                              ,40.878371,-73.84086599999999
3438 EDSON AVE                           ,40.8800176,-73.8389376
1311 E. 222 STREET                       ,40.879731,-73.843948
3525 EDSON AVENUE                        ,40.8818267,-73.8404539
1281 EAST 223RD                          ,40.880739,-73.844571
1144 EAST 223RD STREET                   ,40.882089,-73.848726
1144 EAST 223 STREET                     ,40.882089,-73.848726
1169 EAST 224 STREET                     ,40.8825878,-73.8471199
1178 EAST 225TH STREET                   ,40.882876,-73.8467019
1843 SCHIEFFELIN AVENUE                  ,40.882862,-73.846464
3615 DE REIMER AVENUE                    ,40.883224,-73.83899
3646 PALMER AVENUE                       ,40.884263,-73.837861
3648 PALMER AVENUE                       ,40.8842202,-73.83812069999999
3649 BOLLER AVENUE                       ,40.884237,-73.837465
3645 BOLLER AVENUE                       ,40.884119,-73.837412
3625 BOLLER AVENUE                       ,40.88404200000001,-73.837378
3619 BOLLER AVENUE                       ,40.88387100000001,-73.837301
3660 PALMER AVENUE                       ,40.8844273,-73.8379808
3680 PALMER AVENUE                       ,40.8849919,-73.838179
3684 PALMER AVENUE                       ,40.8851211,-73.83827149999999
3607 MAROLLA PL                          ,40.883866,-73.8348929
3879 BOSTON ROAD                         ,40.8829416,-73.8359509
3500 BOLLER AVENUE                       ,40.882727,-73.8362337
3935 ELY                                 ,40.8890699,-73.84532899999999
3935 ELY AVE                             ,40.8890699,-73.84532899999999
4166 LACONIA AVENUE                      ,40.888708,-73.846122
3921 ELY AVENUE                          ,40.888602,-73.845136
3901 ELY AVENUE                          ,40.8881344,-73.84494409999999
1103 EAST 231 STREET                     ,40.88852199999999,-73.846255
1188 EAST 233 STREET                     ,40.888775,-73.843739
3879 AMUNDSON AVENUE                     ,40.888717,-73.835674
3884 SETON AVENUE                        ,40.888431,-73.835951
7 HARPER COURT                           ,40.884519,-73.834915
15 HARPER COURT                          ,40.884649,-73.835171
3654 PRATT AVE                           ,40.8861367,-73.8349195
81 HARPER COURT                          ,40.884974,-73.8343843
3670 VARIAN AVE                          ,40.886367,-73.834026
1454 EAST 233 STREET                     ,40.889087,-73.83421899999999
1474 EAST 233 STREET                     ,40.889078,-73.83337999999999
2209 LIGHT STREET                        ,40.888057,-73.831943
3925 DEREIMER AVENUE                     ,40.889277,-73.84160299999999
3952 DE REIMER AVENUE                    ,40.889786,-73.841222
3911 MURDOCK AVENUE                      ,40.889077,-73.83962300000002
3953 HILL AVENUE                         ,40.890095,-73.83904199999999
3971 MONTICELLO AVENUE                   ,40.890636,-73.838331
3954 MONTICELLO AVENUE                   ,40.8903749,-73.8377747
3951 SETON AVENUE                        ,40.890374,-73.837279
2156 STRANG AVENUE                       ,40.8912221,-73.8368861
1471 EAST 233 STREET                     ,40.8895657,-73.83350399999999
3939 SECOR AVENUE                        ,40.8905697,-73.83223679999999
3937 SECOR AVENUE                        ,40.890522,-73.8322419
3935 SECOR AVENUE                        ,40.8904538,-73.8322493
3933 SECOR AVENUE                        ,40.89049199999999,-73.83234399999999
4010 HARPER AVENUE                       ,40.891079,-73.83265
3910 SECOR AVE                           ,40.889681,-73.8318929
4017 DYRE AVENUE                         ,40.891216,-73.831357
4016 SECOR AVENUE                        ,40.8911787,-73.8317113
4030 DYRE AVENUE                         ,40.891622,-73.830727
4073 ELY AVENUE                          ,40.891568,-73.8462799
4024 GRACE AVENUE                        ,40.8905408,-73.8444347
