Taxkey,Address,Style,YearBld,Story,Units,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
497-0117-000,2491 S 12TH ST,AP 1,1900,2.0,4,"3,407",Block,8,1,0,"2,775",2015-10,"100,000",6780,12
469-2286-000,1839 W ROGERS ST,AP 1,1912,2.0,4,"3,380",Brick,8,1,0,"3,324",2015-10,"79,000",6780,12
433-1301-000,829 S 19TH ST,AP 1,1895,2.0,6,"3,178",Aluminum / Vinyl,6,1,0,"10,162",2015-01,"75,000",6780,12
468-1229-000,2020 S 12TH ST,AP 1,1888,2.0,4,"2,805",Frame,7,1,0,"4,200",2015-01,"77,500",6780,12
432-0632-000,1219 W WALKER ST,AP 3,1928,2.0,12,"9,460",Brick,8,1,0,"10,500",2015-04,"310,000",6878,12
461-1143-000,1559 S 9TH ST,Duplex-Cottage,1899,2.0,2,"1,624",Aluminum / Vinyl,4,2,0,0,2015-02,"85,000",6730,12
624-0004-100,4771 S 13TH ST,AP 1,1960,2.0,4,"3,200",Brick,8,1,0,"9,760",2015-04,"240,000",6850,13
624-9964-100,4941 S 13TH ST,AP 2,1961,2.0,8,"6,574",Brick,16,1,0,0,2015-09,"975,000",6850,13
689-0310-100,6237 S 13TH ST,AP 3,1966,2.0,20,"14,800",Brick,28,1,0,"23,920",2015-04,"905,000",6880,13
501-0012-000,2738 S SHORE DR,AP 1,1924,2.0,4,"4,062",Aluminum / Vinyl,6,1,0,"6,440",2015-02,"397,500",6861,14
505-0856-100,2803 S GREELEY ST,AP 1,1926,2.0,4,"2,808",Brick,8,1,0,"5,940",2015-06,"250,000",6860,14
504-1010-000,2754 S CLEMENT AV,AP 1,1914,2.0,4,"2,700",Block,4,1,0,"3,048",2015-08,"290,000",6860,14
503-1409-000,3036 S KINNICKINNIC AV,AP 2,1929,2.0,8,"6,614",Brick,8,1,0,"7,200",2015-11,"600,000",6860,14
323-0131-000,928 W MEINECKE AV,AP 2,1926,3.0,10,"14,070",Brick,20,1,0,"8,502",2015-03,"50,000",6702,15
323-0131-000,928 W MEINECKE AV,AP 2,1926,3.0,10,"14,070",Brick,25,1,0,"8,502",2015-03,"95,000",6702,15
